Coin,Image_Name,Edge Count,Edge Area,Edge Mean,Edge Std
500A,photo_10_2024-12-23_20-09-00.jpg,6922485,27147,4.225149536132813,32.550902339431175
500A,photo_1_2024-12-23_20-09-00.jpg,4120290,16158,2.514825439453125,25.19833605755798
500A,photo_2_2024-12-23_20-09-00.jpg,8554485,33547,5.221243286132813,36.113095360421305
500A,photo_3_2024-12-23_20-09-00.jpg,8371395,32829,5.109494018554687,35.73253483319924
500A,photo_4_2024-12-23_20-09-00.jpg,7730580,30316,4.71837158203125,34.36454165316118
500A,photo_5_2024-12-23_20-09-00.jpg,5774985,22647,3.5247711181640624,29.77234662730492
500A,photo_6_2024-12-23_20-09-00.jpg,8889045,34859,5.425442504882812,36.79745116677689
500A,photo_7_2024-12-23_20-09-00.jpg,1798770,7054,1.097882080078125,16.695945177142978
500A,photo_8_2024-12-23_20-09-00.jpg,5733420,22484,3.49940185546875,29.666507374453
500A,photo_9_2024-12-23_20-09-00.jpg,5264475,20645,3.2131805419921875,28.44356709367815
500B,photo_10_2024-12-23_20-08-26.jpg,5941500,23300,3.62640380859375,30.192419025451123
500B,photo_1_2024-12-23_20-08-26.jpg,13072830,51266,7.979022216796875,44.395786621559786
500B,photo_2_2024-12-23_20-08-26.jpg,15212535,59657,9.284994506835938,47.764657187623534
500B,photo_3_2024-12-23_20-08-26.jpg,5134680,20136,3.1339599609375,28.09516123823292
500B,photo_4_2024-12-23_20-08-26.jpg,13608840,53368,8.3061767578125,45.26679247428703
500B,photo_5_2024-12-23_20-08-26.jpg,7711710,30242,4.706854248046875,34.32336458361258
500B,photo_6_2024-12-23_20-08-26.jpg,6742710,26442,4.115423583984375,32.132480493114706
500B,photo_7_2024-12-23_20-08-26.jpg,6131220,24044,3.74219970703125,30.66360818047461
500B,photo_8_2024-12-23_20-08-26.jpg,9267465,36343,5.656411743164062,37.55515944179488
500B,photo_9_2024-12-23_20-08-26.jpg,12611535,49457,7.697470092773438,43.63030859194202
1000A,photo_10_2024-12-23_20-10-19.jpg,6425490,25198,3.921807861328125,31.37961803045878
1000A,photo_1_2024-12-23_20-10-19.jpg,5965980,23396,3.64134521484375,30.253654900052798
1000A,photo_2_2024-12-23_20-10-19.jpg,7051515,27653,4.303903198242187,32.84770513767926
1000A,photo_3_2024-12-23_20-10-19.jpg,10718925,42035,6.5423126220703125,40.31733949782685
1000A,photo_4_2024-12-23_20-10-19.jpg,7741800,30360,4.7252197265625,34.38900011354128
1000A,photo_5_2024-12-23_20-10-19.jpg,7987110,31322,4.874945068359375,34.91913376663461
1000A,photo_6_2024-12-23_20-10-19.jpg,4245750,16650,2.591400146484375,25.575216179620387
1000A,photo_7_2024-12-23_20-10-19.jpg,9800670,38434,5.981854248046875,38.59521023400544
1000A,photo_8_2024-12-23_20-10-19.jpg,3529710,13842,2.154364013671875,23.339270322418482
1000A,photo_9_2024-12-23_20-10-19.jpg,5718375,22425,3.4902191162109375,29.628098912259368
1000B,photo_10_2024-12-23_20-09-40.jpg,10426695,40889,6.363949584960937,39.77822632854699
1000B,photo_1_2024-12-23_20-09-40.jpg,7795605,30571,4.758059692382813,34.50602975599101
1000B,photo_2_2024-12-23_20-09-40.jpg,5842305,22911,3.5658599853515627,29.942928026990273
1000B,photo_3_2024-12-23_20-09-40.jpg,7200435,28237,4.394796752929688,33.18672827347564
1000B,photo_4_2024-12-23_20-09-40.jpg,7157085,28067,4.368338012695313,33.08842420309769
1000B,photo_5_2024-12-23_20-09-40.jpg,7030605,27571,4.291140747070313,32.79980185293443
1000B,photo_6_2024-12-23_20-09-40.jpg,10883145,42679,6.642544555664062,40.61681257214014
1000B,photo_7_2024-12-23_20-09-40.jpg,10417005,40851,6.358035278320313,39.760211057932146
1000B,photo_8_2024-12-23_20-09-40.jpg,3627120,14224,2.213818359375,23.656345658455393
1000B,photo_9_2024-12-23_20-09-40.jpg,5617905,22031,3.4288970947265627,29.37024725583789
