Coin,Image_Name,Contrast,Dissimilarity,Homogeneity,Edge Count,Edge Area,Edge Mean,Edge Std,Contour Count,Total Contour Area
500A,photo_10_2024-12-23_20-09-00.jpg,122.18774249902268,4.88798805218921,0.4984260055569597,6922485,27147,4.225149536132813,32.550902339431175,199,28019.5
500A,photo_1_2024-12-23_20-09-00.jpg,51.38893911258794,1.9694243549648156,0.6182167170065614,4120290,16158,2.514825439453125,25.19833605755798,1,84596.0
500A,photo_2_2024-12-23_20-09-00.jpg,143.16846413213446,4.779312451133698,0.4887621463531166,8554485,33547,5.221243286132813,36.113095360421305,28,333247.5
500A,photo_3_2024-12-23_20-09-00.jpg,116.32082926114151,4.818199032447224,0.4125261099686107,8371395,32829,5.109494018554687,35.73253483319924,158,48127.0
500A,photo_4_2024-12-23_20-09-00.jpg,119.87671032056295,4.5111512900703685,0.44549767200084406,7730580,30316,4.71837158203125,34.36454165316118,142,50177.5
500A,photo_5_2024-12-23_20-09-00.jpg,53.911602692533236,2.815940798475372,0.5936206048896502,5774985,22647,3.5247711181640624,29.77234662730492,94,27061.5
500A,photo_6_2024-12-23_20-09-00.jpg,117.97839742963252,4.5235266810007815,0.45785554494980524,8889045,34859,5.425442504882812,36.79745116677689,2,394972.5
500A,photo_7_2024-12-23_20-09-00.jpg,9.563529246481625,1.373193779319781,0.6122370883918639,1798770,7054,1.097882080078125,16.695945177142978,73,2181.0
500A,photo_8_2024-12-23_20-09-00.jpg,83.68001734753715,3.4113211004691166,0.46437934096968475,5733420,22484,3.49940185546875,29.666507374453,66,46654.0
500A,photo_9_2024-12-23_20-09-00.jpg,65.78344776192337,2.591416634089132,0.5740706724752737,5264475,20645,3.2131805419921875,28.44356709367815,3,142444.5
500B,photo_10_2024-12-23_20-08-26.jpg,52.36297827892887,3.1715042269351064,0.4815450261060193,5941500,23300,3.62640380859375,30.192419025451123,229,15557.5
500B,photo_1_2024-12-23_20-08-26.jpg,235.9384956508992,6.344579505473027,0.4673092591132225,13072830,51266,7.979022216796875,44.395786621559786,216,73103.5
500B,photo_2_2024-12-23_20-08-26.jpg,124.75966453283814,5.078921520719312,0.36449749521262564,15212535,59657,9.284994506835938,47.764657187623534,314,73551.5
500B,photo_3_2024-12-23_20-08-26.jpg,92.23124205922595,3.2146067484362786,0.5306348558012065,5134680,20136,3.1339599609375,28.09516123823292,2,160302.0
500B,photo_4_2024-12-23_20-08-26.jpg,234.32795518960123,6.044489102814699,0.4955629086872517,13608840,53368,8.3061767578125,45.26679247428703,279,77727.0
500B,photo_5_2024-12-23_20-08-26.jpg,151.3001130033229,4.913344776192338,0.4808576136177094,7711710,30242,4.706854248046875,34.32336458361258,213,33208.0
500B,photo_6_2024-12-23_20-08-26.jpg,80.29574679925723,4.10361793881939,0.4783556537721872,6742710,26442,4.115423583984375,32.132480493114706,308,17574.5
500B,photo_7_2024-12-23_20-08-26.jpg,72.30490862001564,2.731732554730258,0.5563900644817052,6131220,24044,3.74219970703125,30.66360818047461,13,143039.5
500B,photo_8_2024-12-23_20-08-26.jpg,179.46077074374512,6.005565260946052,0.47799366548760547,9267465,36343,5.656411743164062,37.55515944179488,280,29608.5
500B,photo_9_2024-12-23_20-08-26.jpg,229.3024237685691,5.828000390930414,0.4692054497545035,12611535,49457,7.697470092773438,43.63030859194202,173,80246.0
1000A,photo_10_2024-12-23_20-10-19.jpg,93.64558370797499,3.8322383209538713,0.49613382712026954,6425490,25198,3.921807861328125,31.37961803045878,170,23454.5
1000A,photo_1_2024-12-23_20-10-19.jpg,94.5331539532838,3.3825040314698973,0.5145433834918105,5965980,23396,3.64134521484375,30.253654900052798,1,178236.0
1000A,photo_2_2024-12-23_20-10-19.jpg,128.21305646501173,4.764890172986708,0.39449563901328427,7051515,27653,4.303903198242187,32.84770513767926,1,328860.5
1000A,photo_3_2024-12-23_20-10-19.jpg,137.90365336688816,5.514750904026584,0.36227792006169407,10718925,42035,6.5423126220703125,40.31733949782685,1,466810.0
1000A,photo_4_2024-12-23_20-10-19.jpg,53.52297937842065,3.7042794663799854,0.37774492604644305,7741800,30360,4.7252197265625,34.38900011354128,1,514617.0
1000A,photo_5_2024-12-23_20-10-19.jpg,152.48083280394835,4.790625610828772,0.4337335831776942,7987110,31322,4.874945068359375,34.91913376663461,1,267579.0
1000A,photo_6_2024-12-23_20-10-19.jpg,21.894313794956997,2.0271898211493355,0.5950235439242507,4245750,16650,2.591400146484375,25.575216179620387,162,9038.5
1000A,photo_7_2024-12-23_20-10-19.jpg,172.5379514024629,5.843075034206412,0.41437540317376625,9800670,38434,5.981854248046875,38.59521023400544,1,435959.0
1000A,photo_8_2024-12-23_20-10-19.jpg,9.230422937842064,1.3210870308835028,0.6647516262709963,3529710,13842,2.154364013671875,23.339270322418482,126,7346.0
1000A,photo_9_2024-12-23_20-10-19.jpg,93.17439650117277,2.8702306489444873,0.5685631123738089,5718375,22425,3.4902191162109375,29.628098912259368,1,117932.0
1000B,photo_10_2024-12-23_20-09-40.jpg,227.11594018764666,6.196124902267396,0.37972120710617746,10426695,40889,6.363949584960937,39.77822632854699,278,40501.5
1000B,photo_1_2024-12-23_20-09-40.jpg,166.35538750977327,5.301320611806099,0.4042666152257123,7795605,30571,4.758059692382813,34.50602975599101,1,387461.0
1000B,photo_2_2024-12-23_20-09-40.jpg,83.41438501759188,2.991830775996873,0.5470367202607331,5842305,22911,3.5658599853515627,29.942928026990273,1,167509.5
1000B,photo_3_2024-12-23_20-09-40.jpg,126.71140111903831,3.7862508551602816,0.4931525764141378,7200435,28237,4.394796752929688,33.18672827347564,1,184148.5
1000B,photo_4_2024-12-23_20-09-40.jpg,76.09350383600469,3.52988968432369,0.5170167929386924,7157085,28067,4.368338012695313,33.08842420309769,261,24575.0
1000B,photo_5_2024-12-23_20-09-40.jpg,72.41389513291634,3.2191177189210327,0.450832368637627,7030605,27571,4.291140747070313,32.79980185293443,1,234459.5
1000B,photo_6_2024-12-23_20-09-40.jpg,142.1100432466771,4.993922253713839,0.45719510577276373,10883145,42679,6.642544555664062,40.61681257214014,4,364613.0
1000B,photo_7_2024-12-23_20-09-40.jpg,156.83657703772482,5.273209660867867,0.42175668450712156,10417005,40851,6.358035278320313,39.760211057932146,1,366943.5
1000B,photo_8_2024-12-23_20-09-40.jpg,20.944313794956994,1.5155657496090693,0.6655209183183842,3627120,14224,2.213818359375,23.656345658455393,84,16865.0
1000B,photo_9_2024-12-23_20-09-40.jpg,37.58614090598123,2.7775172253713842,0.4649459397469244,5617905,22031,3.4288970947265627,29.37024725583789,1,481764.5
